port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
1295.0,Cardiff,Sea,Unknown,Unknown,GBR,51.46299999999981,-3.1729000000000216,Cardiff (1295.0),U.K. of Great Britain and Northern Ireland
1296.0,Avonmouth,Sea,Unknown,Unknown,GBR,51.49980000000017,-2.7182000000000697,Avonmouth (1296.0),U.K. of Great Britain and Northern Ireland
1297.0,Portbury,Sea,Unknown,Unknown,GBR,51.501200000000125,-2.7309000000000108,Portbury (1297.0),U.K. of Great Britain and Northern Ireland
1298.0,Coryton,Sea,Unknown,Unknown,GBR,51.518600000003424,0.5202999999999764,Coryton (1298.0),U.K. of Great Britain and Northern Ireland
1299.0,Pembroke,Sea,Unknown,Unknown,GBR,51.6828999999998,-4.9243999999999115,Pembroke (1299.0),U.K. of Great Britain and Northern Ireland
1300.0,Dunmore East,Sea,Unknown,Unknown,IRL,52.15490000000014,-6.987000000000049,Dunmore East (1300.0),Ireland
1301.0,Groningen,Sea,Unknown,Unknown,NLD,53.2246,6.602100000000005,Groningen (1301.0),Netherlands
1302.0,Ghazaouet,Sea,Unknown,Open,DZA,35.10989999999997,-1.8632000000000022,Ghazaouet (1302.0),Algeria
1303.0,Al Hoceima,Sea,Unknown,Open,MAR,35.257,-3.9107,Al Hoceima (1303.0),Morocco
1304.0,Skikda,Sea,Unknown,Open,DZA,36.890500000000095,6.907100000000011,Skikda (1304.0),Algeria
1311.0,Stanley,Sea,Unknown,Unknown,AUS,-40.7625,145.299,Stanley (1311.0),Australia
1313.0,Port Kembla,Sea,Unknown,Unknown,AUS,-34.46349999999993,150.90199999999987,Port Kembla (1313.0),Australia
1316.0,Tramandai,Sea,Unknown,Unknown,BRA,-29.9726,-50.1111,Tramandai (1316.0),Brazil
1317.0,Imbituba,Sea,Unknown,Unknown,BRA,-28.2267,-48.6484,Imbituba (1317.0),Brazil
1324.0,Okha,Sea,Unknown,Unknown,IND,22.470199999999995,69.0831,Okha (1324.0),India
1325.0,Yantian,Sea,Unknown,Unknown,CHN,22.5764000000004,114.26099999999869,Yantian (1325.0),China
1326.0,Sakito,Sea,Unknown,Unknown,JPN,33.0095,129.562,Sakito (1326.0),Japan
1329.0,Yokosuka,Sea,Unknown,Unknown,JPN,35.284299999999426,139.65799999999695,Yokosuka (1329.0),Japan
1331.0,Hereke,Sea,Unknown,Unknown,TUR,40.707100000000054,29.621500000000047,Hereke (1331.0),Turkey
1332.0,Ayancik,Sea,Unknown,Unknown,TUR,41.9495,34.5779,Ayancik (1332.0),Turkey
1340.0,Tauranga,Sea,Unknown,Unknown,NZL,-37.6942,176.162,Tauranga (1340.0),New Zealand
1347.0,Fayid,Sea,Unknown,Unknown,EGY,30.334399999999988,32.30470000000002,Fayid (1347.0),Egypt
1348.0,Miike,Sea,Unknown,Unknown,JPN,33.0063,130.431,Miike (1348.0),Japan
1353.0,Seletar,Sea,Unknown,Unknown,SGP,1.4095299999999953,103.83599999999977,Seletar (1353.0),Singapore
1358.0,Pusan,Sea,Unknown,Unknown,KOR,35.1236999999967,129.0619999999721,Pusan (1358.0),Republic of Korea
1361.0,Yingkou,Sea,Unknown,Unknown,CHN,40.6892,122.27,Yingkou (1361.0),China
1362.0,Tuzla,Sea,Unknown,Unknown,TUR,40.82709999999776,29.32550000000171,Tuzla (1362.0),Turkey
1364.0,Turku,Sea,Unknown,Unknown,FIN,60.44250000000161,22.219299999999492,Turku (1364.0),Finland
1366.0,Canakkale,Sea,Large,Unknown,TUR,40.1483,26.402300000000004,Canakkale (1366.0),Turkey
1367.0,Buenos Aires,Sea,Large,Unknown,ARG,-34.602600000000116,-58.37470000000018,Buenos Aires (1367.0),Argentina
1369.0,Valparaiso,Sea,Medium,Unknown,CHL,-33.036700000000074,-71.63310000000038,Valparaiso (1369.0),Chile
1373.0,Freeport,Sea,Medium,Unknown,BHS,26.515000000000114,-78.63239999999993,Freeport (1373.0),Bahamas
1376.0,Quintero,Sea,Small,Unknown,CHL,-32.77980000000021,-71.55060000000095,Quintero (1376.0),Chile
1383.0,Inebolu,Sea,Small,Unknown,TUR,41.98450000000002,33.75070000000004,Inebolu (1383.0),Turkey
1386.0,Bridgetown,Sea,Small,Unknown,BRB,13.099500000000008,-59.625,Bridgetown (1386.0),Barbados
1391.0,Cienfuegos,Sea,Medium,Unknown,CUB,22.1412,-80.4563,Cienfuegos (1391.0),Cuba
1394.0,Ramallo,River,Small,Unknown,ARG,-33.4667,-60.0235,Ramallo (1394.0),Argentina
